epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,1432.51,0.55717,1.36495,0.74888,1.01133,0,0.78553,0.66235,0.73045,0.58191,0.76317,0.63562,0.69053,0.51678,1.09194,2.40435,1.3118,1.59613,0,0.000720845,0.000720845,0.000720845
70,1453.03,0.60468,1.52265,0.80297,1.03249,0,0.88238,0.61397,0.7349,0.5822,0.88027,0.60884,0.70811,0.52225,1.12866,2.58984,1.36203,1.66837,0,0.000719196,0.000719196,0.000719196
71,1473.74,0.57993,1.38716,0.77175,1.01066,0,0.68391,0.69223,0.71549,0.54923,0.64282,0.65813,0.66307,0.50698,1.09764,2.78398,1.46399,1.60177,0,0.000717546,0.000717546,0.000717546
72,1494.26,0.55833,1.383,0.75693,1.00585,0,0.66033,0.74676,0.76702,0.59352,0.80987,0.62774,0.73631,0.56542,1.02916,2.62026,1.23273,1.55018,0,0.000715897,0.000715897,0.000715897
73,1514.8,0.58115,1.43864,0.79529,1.02296,0,0.66793,0.74147,0.73999,0.53405,0.69653,0.70407,0.70672,0.53766,1.20354,2.47997,1.23563,1.72595,0,0.000714248,0.000714248,0.000714248
74,1535.32,0.59331,1.42065,0.7868,1.02869,0,0.84823,0.60817,0.73492,0.5549,0.82499,0.60381,0.70383,0.52877,1.09179,2.61618,1.41399,1.7276,0,0.000712598,0.000712598,0.000712598
75,1555.98,0.56544,1.39511,0.7485,1.01494,0,0.77529,0.69604,0.75047,0.56788,0.74528,0.67819,0.70739,0.53732,1.24429,2.82874,1.31248,1.78829,0,0.000710949,0.000710949,0.000710949
76,1576.74,0.5549,1.3479,0.72977,1.00558,0,0.69762,0.72994,0.76398,0.60401,0.66905,0.71339,0.72634,0.55295,1.20128,2.5038,1.34156,1.66199,0,0.000709299,0.000709299,0.000709299
77,1597.3,0.56371,1.35731,0.73692,1.01291,0,0.50154,0.79911,0.76516,0.60302,0.47561,0.75446,0.72782,0.5535,1.1671,2.49183,1.52404,1.70798,0,0.00070765,0.00070765,0.00070765
78,1617.96,0.55737,1.33855,0.7433,1.00438,0,0.76222,0.75804,0.80484,0.62632,0.73287,0.73571,0.76193,0.56305,1.09477,2.48562,1.10466,1.62266,0,0.000706001,0.000706001,0.000706001
79,1638.61,0.54891,1.35548,0.7166,0.99296,0,0.62294,0.80308,0.78489,0.65057,0.58358,0.76737,0.74482,0.56337,1.00369,2.6768,1.0541,1.53235,0,0.000704351,0.000704351,0.000704351
80,1659.23,0.55666,1.35752,0.72103,1.01363,0,0.81967,0.6549,0.73627,0.57639,0.79192,0.63688,0.69588,0.52412,1.1032,2.63217,1.55902,1.68897,0,0.000702702,0.000702702,0.000702702
81,1679.91,0.55562,1.39765,0.71521,1.01268,0,0.60291,0.80357,0.74304,0.5692,0.58022,0.77232,0.70879,0.51391,1.07261,2.67617,1.34044,1.58102,0,0.000701053,0.000701053,0.000701053
82,1700.6,0.53997,1.32507,0.70926,0.99638,0,0.85692,0.65693,0.77474,0.63423,0.8391,0.61738,0.73469,0.57329,1.11087,2.45088,1.36945,1.68428,0,0.000699403,0.000699403,0.000699403
83,1721.16,0.55466,1.37417,0.69866,1.0076,0,0.82976,0.75956,0.80975,0.64174,0.78498,0.72979,0.76823,0.60026,1.07274,2.46986,1.2528,1.66077,0,0.000697754,0.000697754,0.000697754
84,1742.08,0.5424,1.32921,0.68057,1.00104,0,0.87291,0.6985,0.7926,0.63219,0.84696,0.68932,0.76538,0.55918,1.13643,2.3901,1.35921,1.72054,0,0.000696105,0.000696105,0.000696105
85,1762.59,0.53382,1.29366,0.68608,0.99585,0,0.91657,0.70893,0.79969,0.65713,0.88505,0.68969,0.75023,0.59121,0.99509,2.47922,1.24257,1.52286,0,0.000694455,0.000694455,0.000694455
86,1783.16,0.52524,1.26987,0.65773,0.98067,0,0.8097,0.75647,0.81679,0.67044,0.79239,0.731,0.77122,0.59557,0.98378,2.44759,1.03949,1.51094,0,0.000692806,0.000692806,0.000692806
87,1803.88,0.53473,1.29789,0.6873,0.99393,0,0.85046,0.68415,0.79958,0.65545,0.88291,0.65545,0.77302,0.57904,1.02593,2.49134,1.1948,1.55417,0,0.000691157,0.000691157,0.000691157
88,1824.45,0.53202,1.36216,0.67081,0.99805,0,0.86321,0.72155,0.78767,0.65434,0.83857,0.71008,0.74934,0.59301,1.05911,2.49549,1.37488,1.57349,0,0.000689507,0.000689507,0.000689507
89,1845.02,0.54122,1.30991,0.69138,1.00431,0,0.65514,0.77803,0.76198,0.62223,0.62687,0.75571,0.71809,0.56089,1.0632,2.51713,1.34072,1.5722,0,0.000687858,0.000687858,0.000687858
90,1865.56,0.52493,1.23925,0.66537,0.98336,0,0.87959,0.68226,0.77229,0.61409,0.84224,0.66329,0.72993,0.55297,1.08627,2.49346,1.36692,1.55438,0,0.000686209,0.000686209,0.000686209
91,1886.1,0.53427,1.28252,0.68258,0.99334,0,0.91014,0.67261,0.78421,0.62628,0.86134,0.65491,0.73445,0.54984,1.06342,2.61434,1.30032,1.57808,0,0.000684559,0.000684559,0.000684559
