epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,574.649,0.95333,2.33269,1.34495,1.24068,0,0.44145,0.60634,0.58788,0.38544,0.43153,0.58848,0.55814,0.39379,1.42806,2.89812,1.69651,1.80522,0,0.00089902,0.00089902,0.00089902
53,585.539,0.96139,2.3732,1.39567,1.25777,0,0.65914,0.45154,0.61179,0.45377,0.6921,0.39473,0.58588,0.42493,1.42831,2.87643,1.60574,1.86294,0,0.00089704,0.00089704,0.00089704
54,596.394,0.94554,2.32025,1.35328,1.25208,0,0.636,0.52232,0.63864,0.47502,0.62566,0.51807,0.62368,0.46088,1.39907,2.64648,1.59748,1.82525,0,0.00089506,0.00089506,0.00089506
55,607.388,0.98703,2.42899,1.39537,1.27478,0,0.42511,0.65625,0.62753,0.44886,0.4041,0.65625,0.6104,0.47099,1.37965,2.98991,1.49799,1.86095,0,0.00089308,0.00089308,0.00089308
56,618.297,0.96211,2.37477,1.36906,1.25381,0,0.33166,0.63214,0.58104,0.38572,0.32393,0.60982,0.5424,0.37537,1.39436,2.73653,1.7739,1.93422,0,0.0008911,0.0008911,0.0008911
57,629.311,0.89609,2.21054,1.24815,1.20914,0,0.80171,0.60625,0.68787,0.45049,0.71252,0.57946,0.62553,0.45007,1.28303,2.84946,1.49891,1.72897,0,0.00088912,0.00088912,0.00088912
58,640.203,0.97615,2.38961,1.29014,1.26577,0,0.32312,0.71339,0.58363,0.34398,0.27403,0.62321,0.51932,0.38062,1.40699,2.69366,1.9216,1.83846,0,0.00088714,0.00088714,0.00088714
59,651.271,0.96966,2.35248,1.312,1.25697,0,0.69685,0.51786,0.67034,0.46582,0.66591,0.5084,0.63828,0.42198,1.3898,2.82094,1.79396,1.82335,0,0.00088516,0.00088516,0.00088516
60,662.221,0.94874,2.30858,1.3112,1.24628,0,0.61619,0.43999,0.61057,0.42816,0.54033,0.46095,0.59175,0.36514,1.41348,2.57312,1.75309,1.85742,0,0.00088318,0.00088318,0.00088318
61,673.125,0.9637,2.34904,1.33231,1.26994,0,0.41251,0.72321,0.64771,0.41862,0.36855,0.66518,0.60233,0.42043,1.37999,2.72669,1.52812,1.85313,0,0.0008812,0.0008812,0.0008812
62,684.058,0.90982,2.26466,1.23337,1.22661,0,0.45023,0.72134,0.60787,0.44978,0.41038,0.68563,0.55978,0.42835,1.44715,2.89526,1.87998,1.90108,0,0.00087922,0.00087922,0.00087922
63,694.912,0.94016,2.24737,1.2503,1.24071,0,0.54858,0.65124,0.63903,0.47766,0.52351,0.62892,0.60915,0.45461,1.3049,2.77948,1.68313,1.72888,0,0.00087724,0.00087724,0.00087724
